stdYymm,hskTrfclsfCode,imxprtSeCode,hsPrdlstNm,hskPrdlstLclasCode,hskPrdlstMlsfcCode,hskPrdlstSclasCode,imxprtSeNm,imxprtWt,imxprtDollarAmount
202201,0106199000,E,기타 포유동물,0106,19,9000,수출,620.4,37037
202201,0106199000,I,기타 포유동물,0106,19,9000,수입,5649.55,1051742
202201,0106903010,I,갯지렁이,0106,90,3010,수입,30576.4,434379
202201,0106903020,I,실지렁이,0106,90,3020,수입,7,595
202201,0106903090,I,기타,0106,90,3090,수입,8.4,3427
202201,0210999090,I,기타 육·설육,0210,99,9090,수입,23.5,4357
202201,0301111000,I,비단잉어(활어)(민물의 것),0301,11,1000,수입,22,928
202201,0301119000,I,기타(활어)(비단잉어 외  민물의 것),0301,11,9000,수입,6763,482614
202201,0301190000,I,기타(활어)(민물의 것),0301,19,0000,수입,2400.1,87690
202201,0301921000,I,실뱀장어(한마리당 0.3그램 이하인 것으로서 양식용으로 한정),0301,92,1000,수입,77,699356
202201,0301929090,I,뱀장어(앵궐라종),0301,92,9090,수입,285120.3,3756514
202201,0301931000,I,붕어(활어) 카라시우스속,0301,93,1000,수입,3565,13876
202201,0301939000,I,잉어(기타),0301,93,9000,수입,126380,423039
202201,0301992000,E,방어(활어),0301,99,2000,수출,247663,2282780
202201,0301992000,I,방어(활어),0301,99,2000,수입,769171,9172896
202201,0301994091,I,"돔(기타, 참돔)",0301,99,4091,수입,210385,1734861
202201,0301994099,E,"돔(기타, 기타)",0301,99,4099,수출,152,1783
202201,0301994099,I,"돔(기타, 기타)",0301,99,4099,수입,43846,507926
202201,0301995000,E,붕장어(활어),0301,99,5000,수출,118350,1311006
202201,0301997000,I,먹장어(활어),0301,99,7000,수입,59496,568771
202201,0301998000,E,넙치(활어),0301,99,8000,수출,155352.714,3242106
202201,0301998000,I,넙치(활어),0301,99,8000,수입,16895,220287
202201,0301999010,I,능성어(활어),0301,99,9010,수입,4675,87927
202201,0301999020,E,복어(활어),0301,99,9020,수출,236.7,8277
202201,0301999020,I,복어(활어),0301,99,9020,수입,24589,358069
202201,0301999040,E,볼락(적어포함/활어),0301,99,9040,수출,138,3629
202201,0301999040,I,볼락(적어포함/활어),0301,99,9040,수입,9840,82920
202201,0301999059,I,농어(기타),0301,99,9059,수입,125603,1239503
202201,0301999060,E,숭어(활어),0301,99,9060,수출,43,387
202201,0301999070,E,미꾸라지(활어),0301,99,9070,수출,508,9492
202201,0301999070,I,미꾸라지(활어),0301,99,9070,수입,549148,2161847
202201,0301999095,I,민어(활어),0301,99,9095,수입,235963,1549498
202201,0301999099,E,기타어류(활어),0301,99,9099,수출,1610.514,50359
202201,0301999099,I,기타어류(활어),0301,99,9099,수입,69420,659990
202201,0302130000,I,"태평양연어(옹코링쿠스-넬카,고르부스카,케타,차비차,키수츠,마소,로드루스)",0302,13,0000,수입,951.17,16595
